intent,patterns,response
saludo,"hola;hola bot;buenos dias;buenas tardes;buenas noches;hey;ey;qué tal","👋 ¡Hola! Soy Pulsett Bot, tu compañero emocional. ¿Cómo te sentís hoy?"
estres,"estoy estresado;tengo estrés;no puedo más;me siento saturado;demasiada presión","😣 Entiendo que estés pasando por un momento de estrés. Tomate un respiro profundo y recordá que estás haciendo lo mejor que podés. ¿Querés que te recomiende una técnica de relajación?"
ansiedad,"me siento ansioso;me da ansiedad;tengo pánico;me pongo nervioso;no puedo calmarme","😟 Lamento que te sientas así. La ansiedad puede ser difícil de manejar. Probemos algo juntos: inhalá profundamente, retené el aire tres segundos y exhalá lento. ¿Querés más ejercicios de respiración?"
tristeza,"me siento triste;estoy bajoneado;no tengo ganas de nada;quiero llorar;no me siento bien","💙 Lamento que te sientas así. Está bien no estar bien todo el tiempo. A veces hablar de lo que nos pasa ayuda, ¿querés contarme un poco más?"
motivacion,"necesito motivacion;no tengo energia;quiero rendirme;no me sale nada;no tengo ganas de hacer nada","💪 Todos tenemos días difíciles, pero cada paso que das cuenta. Recordá por qué empezaste y que no estás solo en esto. ¿Querés que te comparta una frase motivadora?"
agradecimiento,"gracias;muchas gracias;te agradezco;gracias bot;gracias por escucharme","😊 De nada, me alegra poder acompañarte. ¡Recordá que cada avance, por pequeño que sea, ya es un logro!"
insomnio,"no puedo dormir;me cuesta dormir;no descanso bien;tengo insomnio;duermo mal","🌙 Dormir mal puede afectar mucho cómo te sentís. Tratá de evitar pantallas antes de dormir y hacer respiraciones lentas. Si querés, puedo guiarte en una relajación breve."
alegria,"estoy feliz;me siento bien;todo va genial;estoy contento;estoy animado","😄 ¡Qué alegría escuchar eso! Me encanta saber que estás bien. Aprovechá este momento positivo para recargar energía y disfrutarlo al máximo."
preocupacion,"estoy preocupado;tengo miedo;no sé qué hacer;me siento inseguro;algo me preocupa","😔 Entiendo que te sientas así. Cuando algo nos preocupa, ponerlo en palabras puede ayudar a verlo más claro. ¿Querés contarme qué te tiene inquieto?"
soledad,"me siento solo;no tengo a nadie;me siento aislado;nadie me escucha","🤍 Siento que te sientas así. A veces la soledad pesa más de lo que parece, pero no estás solo ahora. Estoy acá para acompañarte un rato si querés charlar."
